word,Pos
the,a
of,i
be,v
and,c
a,a
in,i
to,t
to,i
that,c
for,i
have,v
with,i
it,p
on,i
by,i
this,d
or,c
from,i
not,x
their,a
as,c
at,i
as,i
they,p
do,v
but,c
he,p
can,v
we,p
which,d
his,a
you,p
that,d
who,p
these,d
its,a
all,d
other,j
will,v
make,v
more,r
would,v
than,c
one,m
also,r
if,c
use,v
time,n
student,n
year,n
what,d
say,v
some,d
about,i
into,i
there,e
when,c
new,j
between,i
two,m
our,a
study,n
people,n
them,p
see,v
only,r
take,v
many,d
n't,x
your,a
first,m
group,n
could,v
how,r
those,d
school,n
find,v
so,r
child,n
way,n
system,n
more,d
high,j
up,r
no,a
state,n
through,i
world,n
program,n
social,j
my,a
because,c
one,p
such,d
should,v
she,p
out,r
then,r
go,v
woman,n
become,v
any,d
life,n
most,r
even,r
her,a
provide,v
get,v
however,r
each,d
give,v
know,v
come,v
while,c
like,i
during,i
research,n
teacher,n
problem,n
education,n
as,r
American,j
level,n
now,r
work,v
just,r
man,n
need,v
over,i
case,n
political,j
number,n
three,m
community,n
in,r
own,d
after,i
result,n
show,v
government,n
same,d
work,n
large,j
include,v
such,i
day,n
must,v
among,i
great,j
area,n
country,n
most,d
important,j
family,n
different,j
process,n
power,n
part,n
national,j
use,n
service,n
within,i
development,n
data,n
think,v
often,r
information,n
question,n
very,r
issue,n
another,d
effect,n
call,v
health,n
might,v
begin,v
us,p
change,n
table,n
policy,n
help,v
although,c
university,n
both,d
model,n
small,j
company,n
experience,n
good,j
me,p
activity,n
human,j
member,n
still,r
him,p
history,n
want,v
without,i
create,v
develop,v
war,n
suggest,v
economic,j
seem,v
well,r
low,j
law,n
under,i
relationship,n
look,v
behavior,n
much,d
both,r
value,n
public,j
require,v
role,n
against,i
write,v
place,n
far,r
when,r
difference,n
water,n
early,j
analysis,n
few,d
practice,n
fact,n
society,n
art,n
several,d
old,j
point,n
thing,n
right,n
too,r
thus,r
ask,v
where,c
control,n
form,n
learn,v
others,n
consider,v
report,v
about,r
rate,n
lead,v
significant,j
figure,n
factor,n
since,c
interest,n
allow,v
follow,v
culture,n
force,n
word,n
patient,n
here,r
need,n
base,v
every,a
whether,c
body,n
feel,v
class,n
including,i
population,n
appear,v
yet,r
international,j
age,n
participant,n
hold,v
before,i
college,n
city,n
music,n
technology,n
keep,v
mean,v
million,m
business,n
tell,v
local,j
market,n
idea,n
individual,n
four,m
effort,n
leave,v
center,n
type,n
offer,v
try,v
describe,v
person,n
believe,v
understand,v
second,m
remain,v
church,n
indicate,v
image,n
least,r
possible,j
subject,n
less,r
bring,v
young,j
science,n
parent,n
material,n
produce,v
continue,v
condition,n
photo,n
identify,v
down,r
end,n
test,n
home,n
knowledge,n
support,n
never,r
field,n
last,m
book,n
live,v
performance,n
project,n
response,n
toward,i
approach,n
support,v
action,n
receive,v
hand,n
physical,j
period,n
organization,n
black,j
increase,v
though,c
environmental,j
view,n
military,j
major,j
put,v
move,v
source,n
story,n
why,r
reason,n
themselves,p
according,i
line,n
nature,n
site,n
cultural,j
court,n
serve,v
skill,n
back,r
where,r
resource,n
sense,n
century,n
today,r
out,i
strategy,n
change,v
on,r
cost,n
long,r
theory,n
product,n
method,n
goal,n
teach,v
much,r
position,n
white,j
likely,j
note,v
well,i
president,n
represent,v
play,v
over,r
party,n
nation,n
care,n
turn,v
month,n
set,v
risk,n
general,j
decision,n
food,n
article,n
event,n
course,n
so,c
especially,r
similar,j
color,n
itself,p
environment,n
language,n
determine,v
treatment,n
structure,n
section,n
always,r
common,j
start,v
occur,v
current,j
available,j
meet,v
present,v
five,m
religious,j
next,m
personal,j
explain,v
term,n
something,p
energy,n
reduce,v
ability,n
add,v
long,j
build,v
measure,n
read,v
able,j
after,c
involve,v
movement,n
job,n
recent,j
specific,j
drug,n
kind,n
almost,r
focus,v
side,n
than,i
strong,j
region,n
relate,v
opportunity,n
there,r
worker,n
individual,j
space,n
evidence,n
perhaps,r
leader,n
quality,n
later,r
only,j
establish,v
big,j
land,n
author,n
sample,n
seek,v
compare,v
again,r
run,v
growth,n
institution,n
price,n
situation,n
natural,j
various,j
report,n
real,j
score,n
